TABLE,COLUMN,TYPE
sales,COMP_NAME,VARCHAR
sales,INVH_COMP_CODE,VARCHAR
sales,INVH_ACNT_YEAR,NUMERIC
sales,DIVISION,VARCHAR
sales,SOH_TXN_CODE,VARCHAR
sales,SOH_NO,NUMERIC
sales,SOH_DT,DATE
sales,GST_NOO,VARCHAR
sales,GST_RTE,NUMERIC
sales,TRANS_TYPE,VARCHAR
sales,INVH_TXN_CODE,VARCHAR
sales,TR_CODE_NAME,VARCHAR
sales,INVH_NO,VARCHAR
sales,PORT_CODE,VARCHAR
sales,MONTH1,NUMERIC
sales,INVH_DT,DATE
sales,INVH_CUST_CODE,VARCHAR
sales,CUST_NAME,VARCHAR
sales,INVH_FORM_CODE,VARCHAR
sales,HSN_CODE,VARCHAR
sales,INVH_FLEX_19,VARCHAR
sales,ITEM_IG_CODE,VARCHAR
sales,INVI_ITEM_CODE,VARCHAR
sales,INVI_ITEM_DESC,VARCHAR
sales,UOM_CODE,VARCHAR
sales,QTY,NUMERIC
sales,RATE,NUMERIC
sales,SUB_ACNT_NAME,VARCHAR
sales,ITEM_TOTAL,NUMERIC
sales,CESS,NUMERIC
sales,P_F,NUMERIC
sales,TCS_TOTAL,NUMERIC
sales,FREIGHT,NUMERIC
sales,INSR,NUMERIC
sales,DIS,NUMERIC
sales,CGST_TOTAL,NUMERIC
sales,SGUST_TOTAL,NUMERIC
sales,IGST_TOTAL,NUMERIC
sales,TOTAL,NUMERIC
sales,TRANSPORT_NAME,VARCHAR
sales,VEHICAL_NAME,VARCHAR
sales,LR,VARCHAR
sales,FREIGHT_1,VARCHAR
sales,MRP_NONMRP,VARCHAR
sales,INVH_ANNOTATION,VARCHAR
sales,CCO_SM_CODE,VARCHAR
sales,GRN_CODE,VARCHAR
sales,GRN_NO,VARCHAR
sales,ADDRESS,VARCHAR
sales,CITY_CODE,VARCHAR
sales,STATE_CODE,VARCHAR
sales,STATE_NO,VARCHAR
sales,THROUGH_CUST,VARCHAR
sales,INVI_FLEX_11,VARCHAR
sales,STATUS,NUMERIC
sales,BILL_NO,VARCHAR
sales,BILL_DATE,VARCHAR
sales,GST_NO,VARCHAR
sales,INVH_LOCN_CODE,VARCHAR
sales,INVH_DEL_LOCN_CODE,VARCHAR
sales,CUST_PARENT_CODE,VARCHAR
sales,PARENT_CUST_NAME,VARCHAR
sales,SHIPPING_BILL_NO,VARCHAR
sales,SHIPPING_BILL_DT,VARCHAR
sales,DC_NO_DATE,VARCHAR
sales,ORDER_NO,VARCHAR
sales,ITEM_ANLY_CODE_01,VARCHAR
sales,TYPE_OF_PACKING,VARCHAR
sales,DIS_QTY,VARCHAR
sales,INVH_EXGE_RATE,NUMERIC
sales,INR_RATE,NUMERIC
sales,BASE_UOM,VARCHAR
sales,EXP_LTR_KGS_QTY,NUMERIC
sales,EXP_LTR_KGS_RATE,NUMERIC
sales,TRANSPORTER,VARCHAR
sales,TRANSPORT_ID,VARCHAR
sales,EXPORT_CODE,VARCHAR
sales,SHIPPING_BILL,VARCHAR
sales,PUR_RATE,VARCHAR
sales,IRN,VARCHAR
sales,EWAY_BILL_NO,VARCHAR
sales,HEADER_BATCH,VARCHAR
sales,LICENSE_NO,VARCHAR
sales,CR_USER_ID,VARCHAR
sales,PORT,VARCHAR
sales,VESSEL_NAME,VARCHAR
sales,REF_TXN_CODE,VARCHAR
sales,REF_NO,NUMERIC
sales,REF_DT,DATE
sales,CONSIGNEE,VARCHAR
sales,BILL_TO_ADDRESS,VARCHAR
sales,SHIP_TO_ADDRESS,VARCHAR
sales,BILL_TO_CITY,VARCHAR
sales,BILL_TO_STATE,VARCHAR
sales,SHIP_TO_CITY,VARCHAR
sales,SHIP_TO_STATE,VARCHAR
sales,SHIP_TO_GST,VARCHAR
sales,GST_RATE1,VARCHAR
sales,SQ,NUMERIC
sales,GST_SQ1,NUMERIC
sales,SQ1,NUMERIC
sales,INSURANCE,NUMERIC
sales,GST_SQ,NUMERIC
sales,REMARKS,VARCHAR
sales,ENTITY01,VARCHAR
sales,ENTITY02,VARCHAR
sales,ENTITY03,VARCHAR
sales,ENTITY04,VARCHAR
sales,ENTITY05,VARCHAR
sales,ENTITY06,VARCHAR
sales,INVH_SYS_ID,NUMERIC
sales,INVI_SYS_ID,NUMERIC
sales,DOC_CR_DT,DATE
